Voltage (V),Current (A),Temperature (°C),Vibration (mm/s),Label
460.01,1.79,118.33,22.37,high
419.12,15.52,36.93,2.18,normal
380.53,30.78,83.08,12.06,moderate
382.82,12.5,54.33,4.48,normal
333.79,0.96,118.99,24.41,high
375.38,6.89,41.57,3.2,low
417.04,19.01,37.29,9.03,low
378.9,10.44,62.17,3.56,low
465.23,0.96,104.33,29.87,high
340.71,14.79,80.37,3.83,moderate
417.52,10.4,68.54,8.52,low
349.46,17.98,52.98,16.32,moderate
329.0,0.74,93.59,23.77,high
203.93,0.22,106.44,25.77,high
383.29,17.8,59.33,0.32,normal
397.12,11.63,36.29,4.61,normal
473.0,36.73,114.51,29.18,high
406.27,15.93,52.57,2.04,normal
401.52,16.92,56.48,1.81,normal
470.2,1.44,96.57,23.67,high
389.18,11.77,31.46,2.18,normal
401.55,11.63,72.33,17.75,moderate
391.97,10.42,61.06,5.33,low
400.47,18.93,45.79,9.75,low
468.51,0.79,92.7,26.36,high
357.36,17.14,42.47,17.91,moderate
383.65,6.25,65.95,2.16,low
410.67,18.66,43.15,0.47,normal
357.34,19.16,87.5,18.53,moderate
413.37,13.32,51.6,0.29,normal
411.25,10.22,43.49,0.34,normal
463.71,1.38,119.49,28.29,high
403.74,26.8,74.29,3.15,moderate
364.61,13.94,56.5,6.02,low
397.73,13.07,41.48,1.08,normal
379.42,9.52,33.7,0.82,low
343.84,32.09,37.17,15.3,moderate
400.99,19.39,30.47,1.5,normal
356.91,15.71,87.78,2.75,moderate
391.18,18.74,50.58,4.81,normal
400.44,12.01,67.67,7.49,low
398.1,17.69,42.0,3.51,normal
230.23,47.51,105.97,28.15,high
387.46,16.45,66.07,4.66,low
406.1,15.64,58.8,2.64,normal
360.38,5.52,41.43,0.11,low
476.22,45.31,94.65,22.38,high
387.42,13.56,47.91,1.88,normal
469.87,0.18,105.73,21.39,high
414.41,10.6,85.79,11.01,moderate
371.69,10.67,56.64,8.02,low
350.39,14.21,71.88,14.01,moderate
396.0,11.23,30.67,1.19,normal
375.03,9.46,44.27,3.09,low
397.94,16.02,31.61,3.76,normal
388.92,10.45,34.49,1.92,normal
396.07,9.67,57.26,3.73,low
232.37,0.11,91.74,26.73,high
419.18,17.83,86.1,16.54,moderate
313.38,47.33,92.1,23.05,high
388.91,12.95,45.44,1.11,normal
345.76,12.65,72.32,15.24,moderate
358.61,17.31,77.02,12.26,moderate
462.19,1.67,111.03,27.43,high
470.62,40.5,101.89,21.71,high
476.46,44.1,114.37,23.03,high
404.57,12.95,65.48,3.28,low
378.96,15.11,66.41,3.46,low
384.14,18.2,32.23,3.03,normal
343.39,11.35,47.43,10.52,moderate
418.75,12.61,69.77,2.44,low
376.63,5.54,59.12,0.9,low
332.52,43.96,107.43,21.27,high
395.0,30.56,72.08,15.79,moderate
